route_id_x,service_id,trip_id,trip_headsign,direction_id_x,shape_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,category_x,status_x,route_id_y,direction_id_y,arrival_time,departure_time,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,category_y,route_id,geometry,isOKU,status_y,search,start_time,end_time,headway_secs
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:00:00,6:00:18,AG18,1,AMPANG,3.150318,101.760049,LRT,AG,[object Object],True,valid,LRT AMPANG,6:00:00,9:00:00,180
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:00:00,6:00:18,AG18,1,AMPANG,3.150318,101.760049,LRT,AG,[object Object],True,valid,LRT AMPANG,9:00:00,17:00:00,300
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:00:00,6:00:18,AG18,1,AMPANG,3.150318,101.760049,LRT,AG,[object Object],True,valid,LRT AMPANG,17:00:00,19:00:00,180
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:00:00,6:00:18,AG18,1,AMPANG,3.150318,101.760049,LRT,AG,[object Object],True,valid,LRT AMPANG,19:00:00,23:25:00,300
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:02:03,6:02:21,AG17,2,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],True,valid,LRT CAHAYA,6:00:00,9:00:00,180
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:02:03,6:02:21,AG17,2,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],True,valid,LRT CAHAYA,9:00:00,17:00:00,300
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:02:03,6:02:21,AG17,2,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],True,valid,LRT CAHAYA,17:00:00,19:00:00,180
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:02:03,6:02:21,AG17,2,CAHAYA,3.140575,101.756677,LRT,AG,[object Object],True,valid,LRT CAHAYA,19:00:00,23:25:00,300
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:03:15,6:03:33,AG16,3,CEMPAKA,3.138324,101.752979,LRT,AG,[object Object],True,valid,LRT CEMPAKA,6:00:00,9:00:00,180
AG,MonFri,AGL_MonFri_0,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid,AGL,0,6:03:15,6:03:33,AG16,3,CEMPAKA,3.138324,101.752979,LRT,AG,[object Object],True,valid,LRT CEMPAKA,9:00:00,17:00:00,300
