route_id_x,direction_id_x,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,category_x,route_id_y,geometry,isOKU,status_x,search,route_id,service_id,trip_headsign,direction_id_y,shape_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,category_y,status_y
AGL,0,AGL_MonFri_0,6:27:47,6:28:05,AG1,18,SENTUL TIMUR,3.185897,101.695217,LRT,AG,[object Object],True,valid,LRT SENTUL TIMUR,AG,MonFri,From Ampang to Sentul Timur,0,shp_AG_0,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:00:00,6:00:18,AG1,1,SENTUL TIMUR,3.185897,101.695217,LRT,AG,[object Object],True,valid,LRT SENTUL TIMUR,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:01:37,6:01:55,AG2,2,SENTUL,3.178484,101.695542,LRT,AG,[object Object],True,valid,LRT SENTUL,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:02:57,6:03:15,AG3,3,TITIWANGSA,3.173497,101.695367,LRT,AG,[object Object],True,valid,LRT TITIWANGSA,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:04:40,6:04:58,AG4,4,PWTC,3.166333,101.693586,LRT,AG,[object Object],True,valid,LRT PWTC,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:06:08,6:06:26,AG5,5,SULTAN ISMAIL,3.161245,101.694109,LRT,AG,[object Object],True,valid,LRT SULTAN ISMAIL,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:07:35,6:07:53,AG6,6,BANDARAYA,3.155567,101.694485,LRT,AG,[object Object],True,valid,LRT BANDARAYA,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:09:28,6:09:46,AG7,7,MASJID JAMEK,3.14927,101.696377,LRT,AG,[object Object],True,valid,LRT MASJID JAMEK,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:11:18,6:11:36,AG8,8,PLAZA RAKYAT,3.144049,101.702105,LRT,AG,[object Object],True,valid,LRT PLAZA RAKYAT,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
AGL,1,AGL_MonFri_1,6:12:42,6:13:00,AG9,9,HANG TUAH,3.140012,101.705984,LRT,AG,[object Object],True,valid,LRT HANG TUAH,AG,MonFri,From Sentul Timur to Ampang,1,shp_AG_1,rapidrail,AGL,LRT Ampang Line,Ampang ~ Chan Sow Lin,1,e57200,FFFFFF,LRT,valid
