stop_name,stop_sequence,weight
BUKIT DUKUNG,4,26.0
BATU 11 CHERAS,5,26.0
BANDAR TUN HUSSIEN ONN,6,26.0
SRI RAYA,7,26.0
TAMAN SUNTEX,8,26.0
TAMAN CONNAUGHT,9,26.0
TAMAN MUTIARA,10,26.0
TAMAN MIDAH,11,26.0
TAMAN PERTAMA,12,26.0
MALURI,13,40.0
COCHRANE,14,26.0
TUN RAZAK EXCHANGE,15,26.0
BUKIT BINTANG ,16,40.0
MERDEKA,17,40.0
PASAR SENI,18,40.0
MUZIUM NEGARA,19,40.0
SEMANTAN,20,26.0
PUSAT BANDAR DAMANSARA,21,26.0
PHILEO DAMANSARA,22,40.0
TAMAN TUN DR ISMAIL,23,26.0
BANDAR UTAMA,24,26.0
MUTIARA DAMANSARA,25,26.0
SURIAN,26,26.0
KOTA DAMANSARA,27,26.0
KWASA SENTRAL,28,26.0
KWASA DAMANSARA,29,26.0
KWASA DAMANSARA,1,18.0
KWASA SENTRAL,2,26.0
KOTA DAMANSARA,3,26.0
SURIAN,4,26.0
MUTIARA DAMANSARA,5,26.0
BANDAR UTAMA,6,26.0
TAMAN TUN DR ISMAIL,7,26.0
PHILEO DAMANSARA,8,30.0
PUSAT BANDAR DAMANSARA,9,26.0
SEMANTAN,10,26.0
MUZIUM NEGARA,11,40.0
PASAR SENI,12,40.0
MERDEKA,13,40.0
BUKIT BINTANG ,14,40.0
TUN RAZAK EXCHANGE,15,26.0
COCHRANE,16,26.0
MALURI,17,40.0
TAMAN PERTAMA,18,26.0
TAMAN MIDAH,19,26.0
TAMAN MUTIARA,20,26.0
TAMAN CONNAUGHT,21,26.0
TAMAN SUNTEX,22,26.0
SRI RAYA,23,26.0
BANDAR TUN HUSSIEN ONN,24,26.0
BATU 11 CHERAS,25,26.0
BUKIT DUKUNG,26,26.0
SUNGAI JERNIH,27,26.0
STADIUM KAJANG,28,26.0
KAJANG,29,40.0
KAJANG,1,18.0
STADIUM KAJANG,2,26.0
SUNGAI JERNIH,3,26.0
BUKIT DUKUNG,4,26.0
BATU 11 CHERAS,5,26.0
BANDAR TUN HUSSIEN ONN,6,26.0
SRI RAYA,7,26.0
TAMAN SUNTEX,8,26.0
TAMAN CONNAUGHT,9,26.0
TAMAN MUTIARA,10,26.0
TAMAN MIDAH,11,26.0
TAMAN PERTAMA,12,26.0
MALURI,13,40.0
COCHRANE,14,26.0
TUN RAZAK EXCHANGE,15,26.0
BUKIT BINTANG ,16,40.0
MERDEKA,17,40.0
PASAR SENI,18,40.0
MUZIUM NEGARA,19,40.0
SEMANTAN,20,26.0
PUSAT BANDAR DAMANSARA,21,26.0
PHILEO DAMANSARA,22,40.0
TAMAN TUN DR ISMAIL,23,26.0
BANDAR UTAMA,24,26.0
MUTIARA DAMANSARA,25,26.0
SURIAN,26,26.0
KOTA DAMANSARA,27,26.0
KWASA SENTRAL,28,26.0
KWASA DAMANSARA,29,26.0
KWASA DAMANSARA,1,18.0
KWASA SENTRAL,2,26.0
KOTA DAMANSARA,3,26.0
SURIAN,4,26.0
MUTIARA DAMANSARA,5,26.0
BANDAR UTAMA,6,26.0
TAMAN TUN DR ISMAIL,7,26.0
PHILEO DAMANSARA,8,30.0
PUSAT BANDAR DAMANSARA,9,26.0
SEMANTAN,10,26.0
MUZIUM NEGARA,11,40.0
PASAR SENI,12,40.0
MERDEKA,13,40.0
BUKIT BINTANG ,14,40.0
TUN RAZAK EXCHANGE,15,26.0
COCHRANE,16,26.0
MALURI,17,40.0
TAMAN PERTAMA,18,26.0
TAMAN MIDAH,19,26.0
TAMAN MUTIARA,20,26.0
TAMAN CONNAUGHT,21,26.0
TAMAN SUNTEX,22,26.0
SRI RAYA,23,26.0
BANDAR TUN HUSSIEN ONN,24,26.0
BATU 11 CHERAS,25,26.0
BUKIT DUKUNG,26,26.0
SUNGAI JERNIH,27,26.0
STADIUM KAJANG,28,26.0
KAJANG,29,40.0
KAJANG,1,18.0
STADIUM KAJANG,2,26.0
SUNGAI JERNIH,3,26.0
BUKIT DUKUNG,4,26.0
BATU 11 CHERAS,5,26.0
BANDAR TUN HUSSIEN ONN,6,26.0
SRI RAYA,7,26.0
TAMAN SUNTEX,8,26.0
TAMAN CONNAUGHT,9,26.0
TAMAN MUTIARA,10,26.0
TAMAN MIDAH,11,26.0
TAMAN PERTAMA,12,26.0
MALURI,13,40.0
COCHRANE,14,26.0
TUN RAZAK EXCHANGE,15,26.0
BUKIT BINTANG ,16,40.0
MERDEKA,17,40.0
PASAR SENI,18,40.0
MUZIUM NEGARA,19,40.0
SEMANTAN,20,26.0
PUSAT BANDAR DAMANSARA,21,26.0
PHILEO DAMANSARA,22,40.0
TAMAN TUN DR ISMAIL,23,26.0
BANDAR UTAMA,24,26.0
MUTIARA DAMANSARA,25,26.0
SURIAN,26,26.0
KOTA DAMANSARA,27,26.0
KWASA SENTRAL,28,26.0
KWASA DAMANSARA,29,26.0
PUTRA HEIGHTS,1,18.0
SUBANG ALAM,2,15.0
ALAM MEGAH,3,15.0
USJ 21,4,15.0
WAWASAN,5,15.0
TAIPAN,6,15.0
USJ 7,7,15.0
SS 18,8,15.0
SS 15,9,15.0
SUBANG JAYA,10,15.0
CGC GLENMARIE,11,15.0
ARA DAMANSARA,12,15.0
LEMBAH SUBANG,13,15.0
KELANA JAYA,14,15.0
TAMAN BAHAGIA,15,15.0
TAMAN PARAMOUNT,16,15.0
ASIA JAYA,17,15.0
TAMAN JAYA,18,15.0
UNIVERSITI,19,17.0
KERINCHI,20,17.0
ABDULLAH HUKUM,21,18.0
BANK RAKYAT BANGSAR,22,17.0
KL SENTRAL,23,35.0
PASAR SENI,24,35.0
MASJID JAMEK,25,35.0
DANG WANGI,26,15.0
KAMPUNG BARU,27,15.0
KLCC,28,35.0
AMPANG PARK,29,35.0
DAMAI,30,15.0
DATO' KERAMAT,31,15.0
JELATEK,32,15.0
SETIAWANGSA,33,15.0
SRI RAMPAI,34,15.0
WANGSA MAJU,35,15.0
TAMAN MELATI,36,15.0
GOMBAK,37,15.0
GOMBAK,1,18.0
TAMAN MELATI,2,15.0
WANGSA MAJU,3,15.0
SRI RAMPAI,4,15.0
SETIAWANGSA,5,15.0
JELATEK,6,15.0
DATO' KERAMAT,7,15.0
DAMAI,8,35.0
AMPANG PARK,9,35.0
KLCC,10,15.0
KAMPUNG BARU,11,15.0
DANG WANGI,12,35.0
MASJID JAMEK,13,35.0
PASAR SENI,14,35.0
KL SENTRAL,15,19.0
BANK RAKYAT BANGSAR,16,17.0
ABDULLAH HUKUM,17,17.0
KERINCHI,18,16.0
UNIVERSITI,19,15.0
TAMAN JAYA,20,15.0
ASIA JAYA,21,15.0
TAMAN PARAMOUNT,22,15.0
TAMAN BAHAGIA,23,15.0
KELANA JAYA,24,15.0
LEMBAH SUBANG,25,15.0
ARA DAMANSARA,26,15.0
CGC GLENMARIE,27,15.0
SUBANG JAYA,28,15.0
SS 15,29,15.0
SS 18,30,15.0
USJ 7,31,15.0
TAIPAN,32,15.0
WAWASAN,33,15.0
USJ 21,34,15.0
ALAM MEGAH,35,15.0
SUBANG ALAM,36,15.0
PUTRA HEIGHTS,37,15.0
PUTRA HEIGHTS,1,18.0
SUBANG ALAM,2,15.0
ALAM MEGAH,3,15.0
USJ 21,4,15.0
WAWASAN,5,15.0
TAIPAN,6,15.0
USJ 7,7,15.0
SS 18,8,15.0
SS 15,9,15.0
SUBANG JAYA,10,15.0
CGC GLENMARIE,11,15.0
ARA DAMANSARA,12,15.0
LEMBAH SUBANG,13,15.0
KELANA JAYA,14,15.0
TAMAN BAHAGIA,15,15.0
TAMAN PARAMOUNT,16,15.0
ASIA JAYA,17,15.0
TAMAN JAYA,18,15.0
UNIVERSITI,19,17.0
KERINCHI,20,17.0
ABDULLAH HUKUM,21,18.0
BANK RAKYAT BANGSAR,22,17.0
KL SENTRAL,23,35.0
PASAR SENI,24,35.0
MASJID JAMEK,25,35.0
DANG WANGI,26,15.0
KAMPUNG BARU,27,15.0
KLCC,28,35.0
AMPANG PARK,29,35.0
DAMAI,30,15.0
DATO' KERAMAT,31,15.0
JELATEK,32,15.0
SETIAWANGSA,33,15.0
SRI RAMPAI,34,15.0
WANGSA MAJU,35,15.0
TAMAN MELATI,36,15.0
GOMBAK,37,15.0
GOMBAK,1,18.0
TAMAN MELATI,2,15.0
WANGSA MAJU,3,15.0
SRI RAMPAI,4,15.0
SETIAWANGSA,5,15.0
JELATEK,6,15.0
DATO' KERAMAT,7,15.0
DAMAI,8,35.0
AMPANG PARK,9,35.0
KLCC,10,15.0
KAMPUNG BARU,11,15.0
DANG WANGI,12,35.0
MASJID JAMEK,13,35.0
PASAR SENI,14,35.0
KL SENTRAL,15,19.0
BANK RAKYAT BANGSAR,16,17.0
ABDULLAH HUKUM,17,17.0
KERINCHI,18,16.0
UNIVERSITI,19,15.0
TAMAN JAYA,20,15.0
ASIA JAYA,21,15.0
TAMAN PARAMOUNT,22,15.0
TAMAN BAHAGIA,23,15.0
KELANA JAYA,24,15.0
LEMBAH SUBANG,25,15.0
ARA DAMANSARA,26,15.0
CGC GLENMARIE,27,15.0
SUBANG JAYA,28,15.0
SS 15,29,15.0
SS 18,30,15.0
USJ 7,31,15.0
TAIPAN,32,15.0
WAWASAN,33,15.0
USJ 21,34,15.0
ALAM MEGAH,35,15.0
SUBANG ALAM,36,15.0
PUTRA HEIGHTS,37,15.0
PUTRA HEIGHTS,1,18.0
SUBANG ALAM,2,15.0
ALAM MEGAH,3,15.0
USJ 21,4,15.0
WAWASAN,5,15.0
TAIPAN,6,15.0
USJ 7,7,15.0
SS 18,8,15.0
SS 15,9,15.0
SUBANG JAYA,10,15.0
CGC GLENMARIE,11,15.0
ARA DAMANSARA,12,15.0
LEMBAH SUBANG,13,15.0
KELANA JAYA,14,15.0
TAMAN BAHAGIA,15,15.0
TAMAN PARAMOUNT,16,15.0
ASIA JAYA,17,15.0
TAMAN JAYA,18,15.0
UNIVERSITI,19,17.0
KERINCHI,20,17.0
ABDULLAH HUKUM,21,18.0
BANK RAKYAT BANGSAR,22,17.0
KL SENTRAL,23,35.0
PASAR SENI,24,35.0
MASJID JAMEK,25,35.0
DANG WANGI,26,15.0
KAMPUNG BARU,27,15.0
KLCC,28,35.0
AMPANG PARK,29,35.0
DAMAI,30,15.0
DATO' KERAMAT,31,15.0
JELATEK,32,15.0
SETIAWANGSA,33,15.0
SRI RAMPAI,34,15.0
WANGSA MAJU,35,15.0
TAMAN MELATI,36,15.0
GOMBAK,37,15.0
GOMBAK,1,18.0
TAMAN MELATI,2,15.0
WANGSA MAJU,3,15.0
SRI RAMPAI,4,15.0
SETIAWANGSA,5,15.0
JELATEK,6,15.0
DATO' KERAMAT,7,15.0
DAMAI,8,35.0
AMPANG PARK,9,35.0
KLCC,10,15.0
KAMPUNG BARU,11,15.0
DANG WANGI,12,35.0
MASJID JAMEK,13,35.0
PASAR SENI,14,35.0
KL SENTRAL,15,19.0
BANK RAKYAT BANGSAR,16,17.0
ABDULLAH HUKUM,17,17.0
KERINCHI,18,16.0
UNIVERSITI,19,15.0
TAMAN JAYA,20,15.0
ASIA JAYA,21,15.0
TAMAN PARAMOUNT,22,15.0
TAMAN BAHAGIA,23,15.0
KELANA JAYA,24,15.0
LEMBAH SUBANG,25,15.0
ARA DAMANSARA,26,15.0
CGC GLENMARIE,27,15.0
SUBANG JAYA,28,15.0
SS 15,29,15.0
SS 18,30,15.0
USJ 7,31,15.0
TAIPAN,32,15.0
WAWASAN,33,15.0
USJ 21,34,15.0
ALAM MEGAH,35,15.0
SUBANG ALAM,36,15.0
PUTRA HEIGHTS,37,15.0
KL SENTRAL,1,18.0
TUN SAMBANTHAN,2,18.0
MAHARAJALELA,3,18.0
HANG TUAH,4,18.0
IMBI,5,18.0
BUKIT BINTANG ,6,18.0
RAJA CHULAN,7,18.0
BUKIT NANAS,8,18.0
MEDAN TUANKU,9,18.0
CHOW KIT,10,18.0
TITIWANGSA,11,18.0
TITIWANGSA,1,18.0
CHOW KIT,2,18.0
MEDAN TUANKU,3,18.0
BUKIT NANAS,4,18.0
RAJA CHULAN,5,18.0
BUKIT BINTANG ,6,18.0
IMBI,7,18.0
HANG TUAH,8,18.0
MAHARAJALELA,9,18.0
TUN SAMBANTHAN,10,18.0
KL SENTRAL,11,18.0
KL SENTRAL,1,18.0
TUN SAMBANTHAN,2,18.0
MAHARAJALELA,3,18.0
HANG TUAH,4,18.0
IMBI,5,18.0
BUKIT BINTANG ,6,18.0
RAJA CHULAN,7,18.0
BUKIT NANAS,8,18.0
MEDAN TUANKU,9,18.0
CHOW KIT,10,18.0
TITIWANGSA,11,18.0
TITIWANGSA,1,18.0
CHOW KIT,2,18.0
MEDAN TUANKU,3,18.0
BUKIT NANAS,4,18.0
RAJA CHULAN,5,18.0
BUKIT BINTANG ,6,18.0
IMBI,7,18.0
HANG TUAH,8,18.0
MAHARAJALELA,9,18.0
TUN SAMBANTHAN,10,18.0
KL SENTRAL,11,18.0
KL SENTRAL,1,18.0
TUN SAMBANTHAN,2,18.0
MAHARAJALELA,3,18.0
HANG TUAH,4,18.0
IMBI,5,18.0
BUKIT BINTANG ,6,18.0
RAJA CHULAN,7,18.0
BUKIT NANAS,8,18.0
MEDAN TUANKU,9,18.0
CHOW KIT,10,18.0
TITIWANGSA,11,18.0
TITIWANGSA,1,18.0
CHOW KIT,2,18.0
MEDAN TUANKU,3,18.0
BUKIT NANAS,4,18.0
RAJA CHULAN,5,18.0
BUKIT BINTANG ,6,18.0
IMBI,7,18.0
HANG TUAH,8,18.0
MAHARAJALELA,9,18.0
TUN SAMBANTHAN,10,18.0
KL SENTRAL,11,18.0
KWASA DAMANSARA,1,18.0
KAMPUNG SELAMAT,2,0.0
SUNGAI BULOH,3,0.0
DAMANSARA DAMAI,4,0.0
SRI DAMANSARA BARAT,5,0.0
SRI DAMANSARA SENTRAL,6,0.0
SRI DAMANSARA TIMUR,7,0.0
METRO PRIMA,8,0.0
KEPONG BARU,9,0.0
JINJANG,10,0.0
SRI DELIMA,11,0.0
KAMPUNG BATU,12,0.0
